interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
BMP4_BMPR1B_ACVR2A	BMP	Bmp4	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp4  - (Bmpr1b+Acvr2a)
BMP4_BMPR1B_ACVR2B	BMP	Bmp4	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp4  - (Bmpr1b+Acvr2b)
BMP4_BMPR1B_BMPR2	BMP	Bmp4	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp4  - (Bmpr1b+Bmpr2)
GDF6_BMPR1A_ACVR2A	BMP	Gdf6	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf6  - (Bmpr1a+Acvr2a)
GDF6_BMPR1A_ACVR2B	BMP	Gdf6	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf6  - (Bmpr1a+Acvr2b)
GDF6_BMPR1A_BMPR2	BMP	Gdf6	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf6  - (Bmpr1a+Bmpr2)
GDF6_BMPR1B_ACVR2A	BMP	Gdf6	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf6  - (Bmpr1b+Acvr2a)
GDF6_BMPR1B_ACVR2B	BMP	Gdf6	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf6  - (Bmpr1b+Acvr2b)
GDF6_BMPR1B_BMPR2	BMP	Gdf6	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf6  - (Bmpr1b+Bmpr2)
BMP15_BMPR1B_BMPR2	BMP	Bmp15	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp15  - (Bmpr1b+Bmpr2)
BMP5_ACVR1_ACVR2A	BMP	Bmp5	ACVR1_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Acvr1+Acvr2a)
BMP5_ACVR1_ACVR2B	BMP	Bmp5	ACVR1_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Acvr1+Acvr2b)
BMP5_ACVR1_BMPR2	BMP	Bmp5	ACVR1_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Acvr1+Bmpr2)
BMP5_BMPR1A_ACVR2A	BMP	Bmp5	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Bmpr1a+Acvr2a)
BMP5_BMPR1A_ACVR2B	BMP	Bmp5	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Bmpr1a+Acvr2b)
BMP5_BMPR1A_BMPR2	BMP	Bmp5	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Bmpr1a+Bmpr2)
BMP5_BMPR1B_ACVR2A	BMP	Bmp5	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Bmpr1b+Acvr2a)
BMP5_BMPR1B_ACVR2B	BMP	Bmp5	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Bmpr1b+Acvr2b)
BMP5_BMPR1B_BMPR2	BMP	Bmp5	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp5  - (Bmpr1b+Bmpr2)
BMP6_ACVR1_ACVR2A	BMP	Bmp6	ACVR1_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Acvr1+Acvr2a)
BMP6_ACVR1_ACVR2B	BMP	Bmp6	ACVR1_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Acvr1+Acvr2b)
BMP6_ACVR1_BMPR2	BMP	Bmp6	ACVR1_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Acvr1+Bmpr2)
BMP6_BMPR1A_ACVR2A	BMP	Bmp6	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Bmpr1a+Acvr2a)
BMP6_BMPR1A_ACVR2B	BMP	Bmp6	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Bmpr1a+Acvr2b)
BMP6_BMPR1A_BMPR2	BMP	Bmp6	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Bmpr1a+Bmpr2)
BMP6_BMPR1B_ACVR2A	BMP	Bmp6	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Bmpr1b+Acvr2a)
BMP6_BMPR1B_ACVR2B	BMP	Bmp6	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Bmpr1b+Acvr2b)
BMP6_BMPR1B_BMPR2	BMP	Bmp6	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp6  - (Bmpr1b+Bmpr2)
BMP7_ACVR1_ACVR2A	BMP	Bmp7	ACVR1_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Acvr1+Acvr2a)
BMP7_ACVR1_ACVR2B	BMP	Bmp7	ACVR1_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Acvr1+Acvr2b)
BMP7_ACVR1_BMPR2	BMP	Bmp7	ACVR1_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Acvr1+Bmpr2)
BMP7_BMPR1A_ACVR2A	BMP	Bmp7	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Bmpr1a+Acvr2a)
BMP7_BMPR1A_ACVR2B	BMP	Bmp7	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Bmpr1a+Acvr2b)
BMP7_BMPR1A_BMPR2	BMP	Bmp7	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Bmpr1a+Bmpr2)
BMP7_BMPR1B_ACVR2A	BMP	Bmp7	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Bmpr1b+Acvr2a)
BMP7_BMPR1B_ACVR2B	BMP	Bmp7	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Bmpr1b+Acvr2b)
BMP7_BMPR1B_BMPR2	BMP	Bmp7	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp7  - (Bmpr1b+Bmpr2)
GDF2_ACVRL1_BMPR2	BMP10	Gdf2	ACVRL1_BMPR2			BMP10 activation receptor		KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf2  - (Acvrl1+Bmpr2)
GDF2_ACVRL1_ACVR2A	BMP10	Gdf2	ACVRL1_ACVR2A			BMP10 activation receptor		KEGG: mmu04350; PMID:26893264	Secreted Signaling	Gdf2  - (Acvrl1+Acvr2a)
GDF9_ACVR1B_BMPR2	GDF	Gdf9	ACVR1B_BMPR2					KEGG: mmu04350	Secreted Signaling	Gdf9  - (Acvr1b+Bmpr2)
GDF11_TGFBR1_ACVR2A	GDF	Gdf11	TGFBR1_ACVR2A					KEGG: mmu04350	Secreted Signaling	Gdf11  - (Tgfbr1+Acvr2a)
GDF11_TGFBR1_ACVR2B	GDF	Gdf11	TGFBR1_ACVR2B					KEGG: mmu04350	Secreted Signaling	Gdf11  - (Tgfbr1+Acvr2b)
GDF11_ACVR1B_ACVR2B	GDF	Gdf11	ACVR1B_ACVR2B					KEGG: mmu04350	Secreted Signaling	Gdf11  - (Acvr1b+Acvr2b)
GDF15_TGFBR2	GDF	Gdf15	Tgfbr2					KEGG: mmu04350	Secreted Signaling	Gdf15  - Tgfbr2
AMH_AMHR2_ACVR1	AMH	Amh	AMHR2_ACVR1					KEGG: mmu04060	Secreted Signaling	Amh  - (Amhr2+Acvr1)
AMH_AMHR2_BMPR1A	AMH	Amh	AMHR2_BMPR1A					KEGG: mmu04060	Secreted Signaling	Amh  - (Amhr2+Bmpr1a)
NRTN_GFRA2	GDNF	Nrtn	GFRA2_RET					PMID: 11544105	Secreted Signaling	Nrtn  - Gfra2
ARTN_GFRA3	GDNF	Artn	GFRA3_RET					PMID: 11544105	Secreted Signaling	Artn  - Gfra3
ARTN_GFRA1	GDNF	Artn	GFRA1_RET					PMID: 11544105	Secreted Signaling	Artn  - Gfra1
INHBA_ACVR1B_ACVR2A	ACTIVIN	Inhba	ACVR1B_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: mmu04350	Secreted Signaling	Inhba  - (Acvr1b+Acvr2a)
INHBA_ACVR1B_ACVR2B	ACTIVIN	Inhba	ACVR1B_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: mmu04350	Secreted Signaling	Inhba  - (Acvr1b+Acvr2b)
INHBB_ACVR1B_ACVR2A	ACTIVIN	Inhbb	ACVR1B_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: mmu04350	Secreted Signaling	Inhbb  - (Acvr1b+Acvr2a)
INHBB_ACVR1B_ACVR2B	ACTIVIN	Inhbb	ACVR1B_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: mmu04350	Secreted Signaling	Inhbb  - (Acvr1b+Acvr2b)
INHBB_ACVR1C_ACVR2A	ACTIVIN	Inhbb	ACVR1C_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: mmu04350	Secreted Signaling	Inhbb  - (Acvr1c+Acvr2a)
INHBB_ACVR1C_ACVR2B	ACTIVIN	Inhbb	ACVR1C_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: mmu04350	Secreted Signaling	Inhbb  - (Acvr1c+Acvr2b)
INHBABB_ACVR1B_ACVR2A	ACTIVIN	Activin AB	ACVR1B_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	Inhbabb  - (Acvr1b+Acvr2a)
INHBABB_ACVR1B_ACVR2B	ACTIVIN	Activin AB	ACVR1B_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	Inhbabb  - (Acvr1b+Acvr2b)
INHBABB_ACVR1C_ACVR2A	ACTIVIN	Activin AB	ACVR1C_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	Inhbabb  - (Acvr1c+Acvr2a)
INHB_ACVR1C_ACVR2B	ACTIVIN	Activin AB	ACVR1C_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	Inhb  - (Acvr1c+Acvr2b)
INHABA_ACVR2A	ACTIVIN	Inhibin A	Acvr2a		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 15027884	Secreted Signaling	Inhaba  - Acvr2a
INHABB_ACVR2B	ACTIVIN	Inhibin B	Acvr2b		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 15027884	Secreted Signaling	Inhabb  - Acvr2b
WNT10A_FZD1_LRP5	WNT	Wnt10a	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd1+Lrp5)
WNT10A_FZD10_LRP5	WNT	Wnt10a	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd10+Lrp5)
WNT10A_FZD2_LRP5	WNT	Wnt10a	FZD2_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd2+Lrp5)
WNT10A_FZD3_LRP5	WNT	Wnt10a	FZD3_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd3+Lrp5)
WNT10A_FZD4_LRP5	WNT	Wnt10a	FZD4_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd4+Lrp5)
WNT10A_FZD5_LRP5	WNT	Wnt10a	FZD5_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd5+Lrp5)
WNT10A_FZD6_LRP5	WNT	Wnt10a	FZD6_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd6+Lrp5)
WNT10A_FZD7_LRP5	WNT	Wnt10a	FZD7_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd7+Lrp5)
WNT10A_FZD8_LRP5	WNT	Wnt10a	FZD8_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd8+Lrp5)
WNT10A_FZD9_LRP5	WNT	Wnt10a	FZD9_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt10a  - (Fzd9+Lrp5)
WNT16_FZD1_LRP5	WNT	Wnt16	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd1+Lrp5)
WNT16_FZD10_LRP5	WNT	Wnt16	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd10+Lrp5)
WNT16_FZD2_LRP5	WNT	Wnt16	FZD2_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd2+Lrp5)
WNT16_FZD3_LRP5	WNT	Wnt16	FZD3_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd3+Lrp5)
WNT16_FZD4_LRP5	WNT	Wnt16	FZD4_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd4+Lrp5)
WNT16_FZD5_LRP5	WNT	Wnt16	FZD5_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd5+Lrp5)
WNT16_FZD6_LRP5	WNT	Wnt16	FZD6_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd6+Lrp5)
WNT16_FZD7_LRP5	WNT	Wnt16	FZD7_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd7+Lrp5)
WNT16_FZD8_LRP5	WNT	Wnt16	FZD8_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd8+Lrp5)
WNT16_FZD9_LRP5	WNT	Wnt16	FZD9_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt16  - (Fzd9+Lrp5)
WNT2B_FZD1_LRP5	WNT	Wnt2b	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd1+Lrp5)
WNT2B_FZD10_LRP5	WNT	Wnt2b	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd10+Lrp5)
WNT2B_FZD2_LRP5	WNT	Wnt2b	FZD2_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd2+Lrp5)
WNT2B_FZD3_LRP5	WNT	Wnt2b	FZD3_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd3+Lrp5)
WNT2B_FZD4_LRP5	WNT	Wnt2b	FZD4_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd4+Lrp5)
WNT2B_FZD5_LRP5	WNT	Wnt2b	FZD5_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd5+Lrp5)
WNT2B_FZD6_LRP5	WNT	Wnt2b	FZD6_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd6+Lrp5)
WNT2B_FZD7_LRP5	WNT	Wnt2b	FZD7_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd7+Lrp5)
WNT2B_FZD8_LRP5	WNT	Wnt2b	FZD8_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd8+Lrp5)
WNT2B_FZD9_LRP5	WNT	Wnt2b	FZD9_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt2b  - (Fzd9+Lrp5)
WNT3A_FZD1_LRP5	WNT	Wnt3a	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd1+Lrp5)
WNT3A_FZD10_LRP5	WNT	Wnt3a	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd10+Lrp5)
WNT3A_FZD2_LRP5	WNT	Wnt3a	FZD2_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd2+Lrp5)
WNT3A_FZD3_LRP5	WNT	Wnt3a	FZD3_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd3+Lrp5)
WNT3A_FZD4_LRP5	WNT	Wnt3a	FZD4_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd4+Lrp5)
WNT3A_FZD5_LRP5	WNT	Wnt3a	FZD5_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd5+Lrp5)
WNT3A_FZD6_LRP5	WNT	Wnt3a	FZD6_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd6+Lrp5)
WNT3A_FZD7_LRP5	WNT	Wnt3a	FZD7_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd7+Lrp5)
WNT3A_FZD8_LRP5	WNT	Wnt3a	FZD8_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd8+Lrp5)
WNT3A_FZD9_LRP5	WNT	Wnt3a	FZD9_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt3a  - (Fzd9+Lrp5)
WNT4_FZD1_LRP5	WNT	Wnt4	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: mmu04310; PMID: 23209147	Secreted Signaling	Wnt4  - (Fzd1+Lrp5)
